requested_current_A_m2,transport_limited_current_A_m2,growth_velocity_m_s
2812.256812827758,2701.5892993599996,9.432609374999999e-08
2825.2765202945534,2701.5892993599996,9.432609374999999e-08
2838.2962277613487,2701.5892993599996,9.432609374999999e-08
2851.3159352281436,2701.5892993599996,9.432609374999999e-08
2864.335642694939,2701.5892993599996,9.432609374999999e-08
2877.3553501617343,2701.5892993599996,9.432609374999999e-08
2890.3750576285292,2701.5892993599996,9.432609374999999e-08
2903.3947650953246,2701.5892993599996,9.432609374999999e-08
2916.4144725621195,2701.5892993599996,9.432609374999999e-08
2929.434180028915,2701.5892993599996,9.432609374999999e-08
2942.45388749571,2701.5892993599996,9.432609374999999e-08
2955.473594962505,2701.5892993599996,9.432609374999999e-08
2968.4933024293005,2701.5892993599996,9.432609374999999e-08
2981.5130098960954,2701.5892993599996,9.432609374999999e-08
2994.5327173628907,2701.5892993599996,9.432609374999999e-08
3007.552424829686,2701.5892993599996,9.432609374999999e-08
3020.572132296481,2701.5892993599996,9.432609374999999e-08
3033.5918397632763,2701.5892993599996,9.432609374999999e-08
3046.6115472300717,2701.5892993599996,9.432609374999999e-08
3059.6312546968666,2701.5892993599996,9.432609374999999e-08
3072.650962163662,2701.5892993599996,9.432609374999999e-08
3085.670669630457,2701.5892993599996,9.432609374999999e-08
3098.690377097252,2701.5892993599996,9.432609374999999e-08
3111.7100845640475,2701.5892993599996,9.432609374999999e-08
3124.7297920308424,2701.5892993599996,9.432609374999999e-08
3137.7494994976378,2701.5892993599996,9.432609374999999e-08
3150.7692069644327,2701.5892993599996,9.432609374999999e-08
3163.788914431228,2701.5892993599996,9.432609374999999e-08
3176.8086218980234,2701.5892993599996,9.432609374999999e-08
3189.8283293648183,2701.5892993599996,9.432609374999999e-08
3202.8480368316136,2701.5892993599996,9.432609374999999e-08
3215.8677442984085,2701.5892993599996,9.432609374999999e-08
3228.887451765204,2701.5892993599996,9.432609374999999e-08
3241.9071592319992,2701.5892993599996,9.432609374999999e-08
