x_m,Q_t_0e+00_W_m3,Q_t_1e-04_W_m3,Q_t_2e-04_W_m3,Q_t_3e-04_W_m3
0.00015099999999999998,11085951147549.42,7657447045380.962,4119281044238.462,1725779175270.136
0.00015199999999999998,11139848606302.303,7733245593782.778,4180908821469.5464,1760378150673.0173
0.000153,11192888757815.588,7809013506674.526,4243034275466.11,1795491219351.8208
0.000154,11245056887440.395,7884735256842.853,4305652284586.3613,1831121543279.5725
0.000155,11296338473414.951,7960395179646.788,4368757502496.954,1867272190630.2256
0.000156,11346719193585.37,8035977477980.9,4432344357011.235,1903946132678.0242
0.000157,11396184932057.38,8111466227352.87,4496407049024.17,1941146240684.4292
0.000158,11444721785774.719,8186845381073.539,4560939551545.988,1978875282774.234
0.000159,11492316071019.871,8262098775557.33,4625935608836.556,2017135920802.5596
0.00015999999999999999,11538954329832.945,8337210135730.929,4691388735642.491,2055930707214.4358
0.00016099999999999998,11584623336344.44,8412163080547.923,4757292216538.911,2095262081898.7456
0.00016199999999999998,11629310103017.758,8486941128607.098,4823639105377.734,2135132369038.3103
0.000163,11673001886797.365,8561527703871.913,4890422224844.368,2175543773957.9604
0.000164,11715686195158.47,8635906141488.622,4957634166124.561,2216498379972.4546
0.000165,11757350792054.275,8710059693700.436,5025267288683.184,2257998145236.1753
0.000166,11797983703756.79,8783971535854.971,5093313720156.594,2300044899596.4976
0.000167,11837573224587.32,8857624772502.209,5161765356360.218,2342640341452.86
0.000168,11876107922532.834,8931002443580.043,5230613861412.94,2385786034623.5024
0.000169,11913576644744.352,9004087530684.436,5299850667979.766,2429483405221.9297
0.00016999999999999999,11949968522913.748,9076862963421.135,5369466977634.236,2473733738545.1826
0.00017099999999999998,11985272978525.29,9149311625835.785,5439453761341.958,2518538175975.992
0.00017199999999999998,12019479727978.365,9221416362919.182,5509801760066.553,2563897711900.961
0.000173,12052578787577.957,9293159987184.408,5580501485499.29,2609813190646.945
0.000174,12084560478389.412,9364525285312.408,5651543220913.534,2656285303437.776
0.000175,12115415430954.3,9435495024862.592,5722917022145.176,2703314585373.592
0.000176,12145134589864.033,9506051961044.87,5794612718699.9795,2750901412434.948
0.000177,12173709218188.215,9576178843549.578,5866619914988.868,2799045998514.0176
0.000178,12201130901754.629,9645858423431.576,5938927991691.986,2847748392475.113
0.000179,12227391553277.967,9715073460044.78,6011526107252.327,2897008475246.856
0.00017999999999999998,12252483416334.441,9783806728023.35,6084403199499.643,2946825956948.294
